date,Hol_type
2019-01-01,PublicHoliday
2019-01-02,PublicHoliday
2019-01-03,SchoolHoliday
2019-01-04,SchoolHoliday
2019-01-05,Weekend
2019-01-06,Weekend
2019-01-07,SchoolHoliday
2019-01-08,SchoolHoliday
2019-01-09,SchoolHoliday
2019-01-10,SchoolHoliday
2019-01-11,SchoolHoliday
2019-01-12,Weekend
2019-01-13,Weekend
2019-01-14,SchoolHoliday
2019-01-15,SchoolHoliday
2019-01-16,SchoolHoliday
2019-01-17,SchoolHoliday
2019-01-18,SchoolHoliday
2019-01-19,Weekend
2019-01-20,Weekend
2019-01-21,SchoolHoliday
2019-01-22,SchoolHoliday
2019-01-23,SchoolHoliday
2019-01-24,SchoolHoliday
2019-01-25,SchoolHoliday
2019-01-26,Weekend
2019-01-27,Weekend
2019-01-28,PublicHoliday
2019-01-29,SchoolDay
2019-01-30,SchoolDay
2019-01-31,SchoolDay
2019-02-01,SchoolDay
2019-02-02,Weekend
2019-02-03,Weekend
2019-02-04,SchoolDay
2019-02-05,SchoolDay
2019-02-06,PublicHoliday
2019-02-07,SchoolDay
2019-02-08,SchoolDay
2019-02-09,Weekend
2019-02-10,Weekend
2019-02-11,SchoolDay
2019-02-12,SchoolDay
2019-02-13,SchoolDay
2019-02-14,SchoolDay
2019-02-15,SchoolDay
2019-02-16,Weekend
2019-02-17,Weekend
2019-02-18,SchoolDay
2019-02-19,SchoolDay
2019-02-20,SchoolDay
2019-02-21,SchoolDay
2019-02-22,SchoolDay
2019-02-23,Weekend
2019-02-24,Weekend
2019-02-25,SchoolDay
2019-02-26,SchoolDay
2019-02-27,SchoolDay
2019-02-28,SchoolDay
2019-03-01,SchoolDay
2019-03-02,Weekend
2019-03-03,Weekend
2019-03-04,SchoolDay
2019-03-05,SchoolDay
2019-03-06,SchoolDay
2019-03-07,SchoolDay
2019-03-08,SchoolDay
2019-03-09,Weekend
2019-03-10,Weekend
2019-03-11,SchoolDay
2019-03-12,SchoolDay
2019-03-13,SchoolDay
2019-03-14,SchoolDay
2019-03-15,SchoolDay
2019-03-16,Weekend
2019-03-17,Weekend
2019-03-18,SchoolDay
2019-03-19,SchoolDay
2019-03-20,SchoolDay
2019-03-21,SchoolDay
2019-03-22,SchoolDay
2019-03-23,Weekend
2019-03-24,Weekend
2019-03-25,SchoolDay
2019-03-26,SchoolDay
2019-03-27,SchoolDay
2019-03-28,SchoolDay
2019-03-29,SchoolDay
2019-03-30,Weekend
2019-03-31,Weekend
2019-04-01,SchoolDay
2019-04-02,SchoolDay
2019-04-03,SchoolDay
2019-04-04,SchoolDay
2019-04-05,SchoolDay
2019-04-06,Weekend
2019-04-07,Weekend
2019-04-08,SchoolDay
2019-04-09,SchoolDay
2019-04-10,SchoolDay
2019-04-11,SchoolDay
2019-04-12,SchoolDay
2019-04-13,Weekend
2019-04-14,Weekend
2019-04-15,SchoolHoliday
2019-04-16,SchoolHoliday
2019-04-17,SchoolHoliday
2019-04-18,SchoolHoliday
2019-04-19,PublicHoliday
2019-04-20,Weekend
2019-04-21,Weekend
2019-04-22,PublicHoliday
2019-04-23,SchoolHoliday
2019-04-24,SchoolHoliday
2019-04-25,PublicHoliday
2019-04-26,SchoolHoliday
2019-04-27,Weekend
2019-04-28,Weekend
2019-04-29,SchoolDay
2019-04-30,SchoolDay
2019-05-01,SchoolDay
2019-05-02,SchoolDay
2019-05-03,SchoolDay
2019-05-04,Weekend
2019-05-05,Weekend
2019-05-06,SchoolDay
2019-05-07,SchoolDay
2019-05-08,SchoolDay
2019-05-09,SchoolDay
2019-05-10,SchoolDay
2019-05-11,Weekend
2019-05-12,Weekend
2019-05-13,SchoolDay
2019-05-14,SchoolDay
2019-05-15,SchoolDay
2019-05-16,SchoolDay
2019-05-17,SchoolDay
2019-05-18,Weekend
2019-05-19,Weekend
2019-05-20,SchoolDay
2019-05-21,SchoolDay
2019-05-22,SchoolDay
2019-05-23,SchoolDay
2019-05-24,SchoolDay
2019-05-25,Weekend
2019-05-26,Weekend
2019-05-27,SchoolDay
2019-05-28,SchoolDay
2019-05-29,SchoolDay
2019-05-30,SchoolDay
2019-05-31,SchoolDay
2019-06-01,Weekend
2019-06-02,Weekend
2019-06-03,PublicHoliday
2019-06-04,SchoolDay
2019-06-05,SchoolDay
2019-06-06,SchoolDay
2019-06-07,SchoolDay
2019-06-08,Weekend
2019-06-09,Weekend
2019-06-10,SchoolDay
2019-06-11,SchoolDay
2019-06-12,SchoolDay
2019-06-13,SchoolDay
2019-06-14,SchoolDay
2019-06-15,Weekend
2019-06-16,Weekend
2019-06-17,SchoolDay
2019-06-18,SchoolDay
2019-06-19,SchoolDay
2019-06-20,SchoolDay
2019-06-21,SchoolDay
2019-06-22,Weekend
2019-06-23,Weekend
2019-06-24,SchoolDay
2019-06-25,SchoolDay
2019-06-26,SchoolDay
2019-06-27,SchoolDay
2019-06-28,SchoolDay
2019-06-29,Weekend
2019-06-30,Weekend
2019-07-01,SchoolDay
2019-07-02,SchoolDay
2019-07-03,SchoolDay
2019-07-04,SchoolDay
2019-07-05,SchoolDay
2019-07-06,Weekend
2019-07-07,Weekend
2019-07-08,SchoolHoliday
2019-07-09,SchoolHoliday
2019-07-10,SchoolHoliday
2019-07-11,SchoolHoliday
2019-07-12,SchoolHoliday
2019-07-13,Weekend
2019-07-14,Weekend
2019-07-15,SchoolHoliday
2019-07-16,SchoolHoliday
2019-07-17,SchoolHoliday
2019-07-18,SchoolHoliday
2019-07-19,SchoolHoliday
2019-07-20,Weekend
2019-07-21,Weekend
2019-07-22,SchoolDay
2019-07-23,SchoolDay
2019-07-24,SchoolDay
2019-07-25,SchoolDay
2019-07-26,SchoolDay
2019-07-27,Weekend
2019-07-28,Weekend
2019-07-29,SchoolDay
2019-07-30,SchoolDay
2019-07-31,SchoolDay
2019-08-01,SchoolDay
2019-08-02,SchoolDay
2019-08-03,Weekend
2019-08-04,Weekend
2019-08-05,SchoolDay
2019-08-06,SchoolDay
2019-08-07,SchoolDay
2019-08-08,SchoolDay
2019-08-09,SchoolDay
2019-08-10,Weekend
2019-08-11,Weekend
2019-08-12,SchoolDay
2019-08-13,SchoolDay
2019-08-14,SchoolDay
2019-08-15,SchoolDay
2019-08-16,SchoolDay
2019-08-17,Weekend
2019-08-18,Weekend
2019-08-19,SchoolDay
2019-08-20,SchoolDay
2019-08-21,SchoolDay
2019-08-22,SchoolDay
2019-08-23,SchoolDay
2019-08-24,Weekend
2019-08-25,Weekend
2019-08-26,SchoolDay
2019-08-27,SchoolDay
2019-08-28,SchoolDay
2019-08-29,SchoolDay
2019-08-30,SchoolDay
2019-08-31,Weekend
2019-09-01,Weekend
2019-09-02,SchoolDay
2019-09-03,SchoolDay
2019-09-04,SchoolDay
2019-09-05,SchoolDay
2019-09-06,SchoolDay
2019-09-07,Weekend
2019-09-08,Weekend
2019-09-09,SchoolDay
2019-09-10,SchoolDay
2019-09-11,SchoolDay
2019-09-12,SchoolDay
2019-09-13,SchoolDay
2019-09-14,Weekend
2019-09-15,Weekend
2019-09-16,SchoolDay
2019-09-17,SchoolDay
2019-09-18,SchoolDay
2019-09-19,SchoolDay
2019-09-20,SchoolDay
2019-09-21,Weekend
2019-09-22,Weekend
2019-09-23,SchoolDay
2019-09-24,SchoolDay
2019-09-25,SchoolDay
2019-09-26,SchoolDay
2019-09-27,SchoolDay
2019-09-28,Weekend
2019-09-29,Weekend
2019-09-30,SchoolHoliday
2019-10-01,SchoolHoliday
2019-10-02,SchoolHoliday
2019-10-03,SchoolHoliday
2019-10-04,SchoolHoliday
2019-10-05,Weekend
2019-10-06,Weekend
2019-10-07,SchoolHoliday
2019-10-08,SchoolHoliday
2019-10-09,SchoolHoliday
2019-10-10,SchoolHoliday
2019-10-11,SchoolHoliday
2019-10-12,Weekend
2019-10-13,Weekend
2019-10-14,SchoolDay
2019-10-15,SchoolDay
2019-10-16,SchoolDay
2019-10-17,SchoolDay
2019-10-18,SchoolDay
2019-10-19,Weekend
2019-10-20,Weekend
2019-10-21,SchoolDay
2019-10-22,SchoolDay
2019-10-23,SchoolDay
2019-10-24,SchoolDay
2019-10-25,SchoolDay
2019-10-26,Weekend
2019-10-27,Weekend
2019-10-28,PublicHoliday
2019-10-29,SchoolDay
2019-10-30,SchoolDay
2019-10-31,SchoolDay
2019-11-01,SchoolDay
2019-11-02,Weekend
2019-11-03,Weekend
2019-11-04,SchoolDay
2019-11-05,SchoolDay
2019-11-06,SchoolDay
2019-11-07,SchoolDay
2019-11-08,SchoolDay
2019-11-09,Weekend
2019-11-10,Weekend
2019-11-11,SchoolDay
2019-11-12,SchoolDay
2019-11-13,SchoolDay
2019-11-14,SchoolDay
2019-11-15,SchoolDay
2019-11-16,Weekend
2019-11-17,Weekend
2019-11-18,SchoolDay
2019-11-19,SchoolDay
2019-11-20,SchoolDay
2019-11-21,SchoolDay
2019-11-22,SchoolDay
2019-11-23,Weekend
2019-11-24,Weekend
2019-11-25,SchoolDay
2019-11-26,SchoolDay
2019-11-27,SchoolDay
2019-11-28,SchoolDay
2019-11-29,SchoolDay
2019-11-30,Weekend
2019-12-01,Weekend
2019-12-02,SchoolDay
2019-12-03,SchoolDay
2019-12-04,SchoolDay
2019-12-05,SchoolDay
2019-12-06,SchoolDay
2019-12-07,Weekend
2019-12-08,Weekend
2019-12-09,SchoolDay
2019-12-10,SchoolDay
2019-12-11,SchoolDay
2019-12-12,SchoolDay
2019-12-13,SchoolDay
2019-12-14,Weekend
2019-12-15,Weekend
2019-12-16,SchoolDay
2019-12-17,SchoolDay
2019-12-18,SchoolDay
2019-12-19,SchoolDay
2019-12-20,SchoolDay
2019-12-21,Weekend
2019-12-22,Weekend
2019-12-23,SchoolHoliday
2019-12-24,SchoolHoliday
2019-12-25,PublicHoliday
2019-12-26,PublicHoliday
2019-12-27,SchoolHoliday
2019-12-28,Weekend
2019-12-29,Weekend
2019-12-30,SchoolHoliday
2019-12-31,SchoolHoliday
